Customer_ID,Signup_Date,Age,Gender,Location,Income_Level,Customer_Segment,Acquisition_Channel,First_Purchase_Date,Total_Purchases,Total_Spend,Average_Order_Value,Churn_Status,Cohort_Month,Customer_Lifetime_Value,Tenure_Days,Last_Login_Date,Engagement_Score,Preferred_Category,Discount_Usage_Rate,Referral_Count,Payment_Method,Return_Rate,Satisfaction_Score,Email_Open_Rate,Mobile_App_User,Subscription_Type,Average_Session_Duration,Customer_Tier
20,17-05-2025,33,Female,Lake Patrick,High,Loyal,Email,6/4/2025,6,2771.89,461.98,Active,25-May,6272.51,112,31-08-2025,19,Travel,0.57,4,Net Banking,0.07,4,0.54,Yes,Premium,43.28,Gold
21,10/9/2023,24,Other,Jessicaton,Low,Bargain Hunter,Email,30-10-2023,11,2861.41,260.13,Inactive,23-Oct,5080.71,698,11/9/2024,70,Grocery,0.13,4,UPI,0,1,0.34,Yes,Gold,3.94,Bronze
22,2/8/2025,55,Male,West Tracy,High,Occasional,Email,4/9/2025,16,981.23,61.33,Inactive,25-Feb,1465.44,210,9/4/2025,81,Healthcare,0.27,2,Wallet,0.12,2,0.33,Yes,Free,44.43,Platinum
23,22-03-2025,60,Male,Williamstad,Low,One-time,Social Media,18-05-2025,15,2496.07,166.4,Inactive,25-Mar,4411.81,168,16-06-2025,79,Electronics,0.66,2,Net Banking,0.12,4,0.51,No,Free,49.47,Platinum
24,25-06-2024,36,Female,Brittanyton,Medium,High Spender,Referral,8/7/2024,18,3232.57,179.59,Inactive,24-Jun,6302.6,438,17-09-2024,37,Books,0.01,4,Wallet,0.06,1,0.52,No,Free,20.24,Silver
25,8/6/2024,52,Female,Tamaraland,Medium,Bargain Hunter,Direct,16-09-2024,35,4629.96,132.28,Inactive,24-Aug,10348.87,396,21-08-2025,74,Grocery,0.16,5,Debit Card,0.04,1,0.89,Yes,Free,35.25,Bronze
26,20-06-2025,53,Female,Riveramouth,Medium,One-time,Ads,25-07-2025,32,3801.93,118.81,Active,25-Jun,8177.42,78,21-07-2025,26,Electronics,0.76,6,Net Banking,0.17,3,0.26,No,Gold,21.97,Platinum
27,26-10-2024,52,Male,Lake Janet,Medium,High Spender,Email,20-12-2024,10,3237.97,323.8,Inactive,24-Oct,5382.94,315,29-12-2024,85,Electronics,0.03,0,Credit Card,0.06,1,0.63,No,Free,50.64,Gold
28,18-03-2025,45,Female,Davidhaven,High,Loyal,Ads,5/9/2025,5,1710.77,342.15,Active,25-Mar,3114.6,172,4/6/2025,59,Healthcare,0.93,6,UPI,0.02,1,0.31,Yes,Gold,4.76,Bronze
29,29-03-2024,25,Other,Port Omarport,Low,High Spender,Referral,15-05-2024,15,3161.84,210.79,Inactive,24-Mar,6738.23,526,18-10-2024,6,Healthcare,0.17,7,Net Banking,0.21,2,0.83,No,Premium,47.97,Platinum
30,9/6/2023,50,Other,North John,High,High Spender,Referral,14-10-2023,27,777.53,28.8,Active,23-Sep,1932.59,731,8/8/2024,12,Books,0.9,1,Wallet,0.15,1,0.38,No,Premium,48.27,Gold
31,13-02-2024,44,Male,Wilsonside,Low,One-time,Ads,24-02-2024,23,2530.37,110.02,Inactive,24-Feb,4215.67,571,7/3/2024,15,Books,0.43,5,UPI,0.07,3,0.14,Yes,Free,59.45,Silver
32,13-01-2024,59,Other,Barajasfurt,Medium,One-time,Email,3/1/2024,27,337.38,12.5,Inactive,24-Jan,537.49,602,5/6/2025,44,Books,0.21,2,Wallet,0.1,1,0.18,Yes,Premium,13.66,Gold
33,27-04-2025,26,Other,Port Katelynhaven,Low,Bargain Hunter,Social Media,6/6/2025,25,1532.51,61.3,Inactive,25-Apr,2041.24,132,8/1/2025,85,Grocery,0.38,0,Credit Card,0.1,1,0.51,No,Premium,50.92,Platinum
34,2/7/2024,37,Other,Lake Sarahview,Medium,Loyal,Ads,20-02-2024,30,2659.11,88.64,Active,24-Feb,5483.9,577,16-04-2024,75,Healthcare,0.63,8,Net Banking,0.24,2,0.82,Yes,Gold,15.98,Platinum
35,28-10-2024,20,Male,Claireview,High,One-time,Ads,21-11-2024,35,701.13,20.03,Active,24-Oct,1544.44,313,12/5/2024,92,Fashion,0.95,9,UPI,0,2,0.76,No,Free,32.97,Silver
36,26-01-2025,24,Male,West Ruben,Medium,Occasional,Direct,14-03-2025,49,4541.32,92.68,Inactive,25-Jan,7202.02,223,16-06-2025,54,Healthcare,0.27,2,Debit Card,0.22,1,0.87,No,Premium,29.76,Silver
37,23-05-2024,28,Male,Port Richardview,Low,Occasional,Ads,13-06-2024,48,1294.15,26.96,Inactive,24-May,2616.54,471,27-08-2025,61,Travel,0.67,8,Debit Card,0.16,2,0.28,Yes,Free,52.3,Bronze
38,31-01-2025,32,Other,New Aprilborough,Medium,High Spender,Direct,25-03-2025,50,2898,57.96,Active,25-Jan,4107.91,218,28-03-2025,34,Grocery,0.9,10,Debit Card,0.2,1,0.55,No,Premium,54.31,Bronze
39,2/2/2025,40,Other,Lake Jeffreyville,Low,Bargain Hunter,Social Media,,0,0,0,Active,25-Feb,0,216,13-07-2025,23,Books,0.11,3,Credit Card,0.06,2,0.24,Yes,Free,8.1,Bronze
40,11/4/2023,52,Male,West Tracy,High,Occasional,Ads,21-11-2023,40,3921.74,98.04,Active,23-Nov,4981.68,672,7/2/2025,78,Electronics,0.62,7,Credit Card,0.23,2,0.8,No,Premium,45.26,Gold
41,3/6/2025,52,Female,Robertfort,Low,High Spender,Ads,24-03-2025,37,2652.8,71.7,Inactive,25-Mar,4019.36,184,5/8/2025,62,Healthcare,0.96,1,UPI,0.13,2,0.28,Yes,Premium,48.93,Gold
42,4/8/2025,21,Other,West Rachelfurt,High,Loyal,Email,16-04-2025,50,4728.33,94.57,Inactive,25-Apr,6778.19,151,27-08-2025,20,Grocery,0.61,1,Net Banking,0.25,3,0.64,Yes,Gold,19.22,Gold
43,19-11-2024,42,Other,Amymouth,Low,High Spender,Direct,12/3/2024,20,4597.04,229.85,Inactive,24-Nov,6528.49,291,1/10/2025,45,Fashion,0.33,2,Wallet,0.18,4,0.2,No,Free,5.05,Bronze
44,6/10/2024,35,Female,Christopherville,Low,One-time,Email,,0,0,0,Active,24-Jun,0,453,3/5/2025,76,Fashion,0.86,3,UPI,0.27,2,0.12,No,Free,35.64,Platinum
45,30-12-2024,29,Female,Rileyburgh,High,Bargain Hunter,Social Media,13-02-2025,35,118.54,3.39,Inactive,24-Dec,274.26,250,5/7/2025,57,Fashion,0.46,0,UPI,0.25,2,0.15,No,Gold,11.29,Bronze
46,23-01-2024,27,Male,Jordanton,High,Occasional,Social Media,19-02-2024,17,3475.94,204.47,Inactive,24-Jan,6623.78,592,20-05-2024,2,Healthcare,0.27,9,UPI,0.27,5,0.68,No,Premium,52.63,Bronze
47,19-07-2024,27,Male,North Alyssa,High,Occasional,Ads,30-08-2024,12,2009.29,167.44,Active,24-Jul,4724.22,414,23-03-2025,44,Electronics,0.97,0,Debit Card,0.13,1,0.11,No,Gold,8.4,Silver
48,25-06-2024,18,Male,Port Lindsey,Low,Occasional,Direct,19-07-2024,14,4767.69,340.55,Active,24-Jun,10511,438,10/5/2024,73,Electronics,0.16,1,Wallet,0.26,3,0.59,Yes,Gold,26.27,Silver
49,24-08-2024,64,Female,East Charles,High,One-time,Ads,20-09-2024,39,3452.01,88.51,Inactive,24-Aug,8313.56,378,18-01-2025,53,Books,0.54,0,Net Banking,0.09,3,0.5,Yes,Premium,23.81,Platinum
50,24-01-2024,26,Female,Barbarashire,High,Occasional,Email,13-02-2024,34,1601.06,47.09,Inactive,24-Jan,2461.11,591,1/8/2025,44,Electronics,0.02,2,Wallet,0.13,2,0.52,Yes,Free,34.83,Gold
51,16-05-2024,30,Female,East Douglas,Low,One-time,Email,7/3/2024,9,4317.66,479.74,Active,24-May,8993.91,478,26-10-2024,67,Healthcare,0.14,3,Net Banking,0.08,2,0.57,No,Premium,19.87,Silver
52,9/11/2024,53,Other,West Thomasville,High,Occasional,Email,10/1/2024,5,225.56,45.11,Inactive,24-Sep,409.43,360,19-05-2025,23,Electronics,0.11,7,Debit Card,0.24,2,0.74,Yes,Gold,41.88,Gold
53,14-07-2025,34,Male,Kristenport,Low,One-time,Direct,13-08-2025,18,143.43,7.97,Inactive,25-Jul,177.15,54,22-07-2025,16,Travel,0.25,6,UPI,0.13,5,0.88,No,Free,38.5,Gold
54,17-11-2024,23,Other,Mariaborough,Medium,High Spender,Ads,30-12-2024,23,4546.18,197.66,Inactive,24-Nov,10300.45,293,6/8/2025,35,Grocery,0.05,4,Debit Card,0.12,3,0.11,No,Gold,40.95,Silver
55,19-06-2024,41,Male,New Brandon,Medium,Loyal,Ads,24-06-2024,16,4412.96,275.81,Active,24-Jun,9225.98,444,8/1/2024,64,Grocery,0.99,2,UPI,0.08,1,0.59,Yes,Premium,25.55,Bronze
56,4/4/2024,49,Female,Port Nicholasside,Low,One-time,Email,5/1/2024,41,1175.97,28.68,Inactive,24-Apr,2701.25,520,18-02-2025,62,Books,0.6,10,Net Banking,0.25,5,0.58,Yes,Premium,28.19,Gold
57,16-07-2024,64,Female,New Angelicaport,Medium,One-time,Email,19-08-2024,15,4146.01,276.4,Inactive,24-Jul,5546.61,417,1/3/2025,72,Healthcare,0.02,5,Credit Card,0.14,3,0.26,No,Free,5.75,Silver
58,30-10-2023,22,Female,Blackburgh,High,Bargain Hunter,Email,29-11-2023,16,2007.2,125.45,Inactive,23-Oct,4420.35,677,9/3/2024,79,Electronics,0.23,2,Wallet,0.18,1,0.32,No,Free,22.45,Platinum
59,20-10-2024,26,Female,New Natalie,Low,One-time,Social Media,12/12/2024,11,1243.24,113.02,Inactive,24-Oct,2873.33,321,7/5/2025,17,Electronics,0.29,7,Wallet,0.13,2,0.17,Yes,Gold,14.79,Platinum
60,1/1/2025,22,Female,Tateburgh,High,High Spender,Email,24-01-2025,44,1950.37,44.33,Active,25-Jan,4130.22,248,16-07-2025,21,Grocery,0.62,5,Wallet,0.21,2,0.39,Yes,Gold,31.43,Gold
61,27-08-2024,19,Other,North Aaron,Medium,One-time,Direct,9/5/2024,3,1291.08,430.36,Inactive,24-Aug,2187.58,375,20-02-2025,80,Grocery,0.07,7,UPI,0.11,2,0.47,Yes,Premium,32.77,Bronze
62,1/6/2025,44,Other,Morganbury,High,One-time,Direct,1/10/2025,26,4776.6,183.72,Inactive,25-Jan,10878.97,243,14-08-2025,25,Electronics,0.21,6,Credit Card,0.17,1,0.67,Yes,Premium,20.62,Silver
63,1/12/2025,22,Other,Timothyview,Medium,High Spender,Referral,2/11/2025,10,1616.86,161.69,Inactive,25-Jan,3998.48,237,27-05-2025,13,Books,0.7,2,Net Banking,0.11,4,0.33,No,Premium,5.62,Platinum
64,5/9/2024,31,Female,Lake Shannon,Medium,High Spender,Email,19-06-2024,21,4512.06,214.86,Active,24-May,6218.96,485,29-08-2024,11,Fashion,0.56,5,UPI,0.1,5,0.75,Yes,Premium,15.84,Platinum
65,1/5/2024,49,Other,Port Rodneytown,High,High Spender,Email,2/10/2024,50,2196.56,43.93,Active,24-Jan,5006.15,610,5/4/2024,70,Fashion,0.43,7,Wallet,0.16,2,0.56,Yes,Premium,17.74,Gold
66,8/2/2025,31,Male,New Thomas,Low,Loyal,Referral,25-09-2025,2,3860.12,1930.06,Active,25-Aug,8329.71,35,8/5/2025,100,Fashion,0.54,6,Net Banking,0.01,1,0.74,No,Premium,32.23,Bronze
67,9/6/2024,52,Male,West Scott,High,High Spender,Referral,13-09-2024,20,1339.04,66.95,Active,24-Sep,2454.4,365,12/12/2024,13,Fashion,0.14,6,Credit Card,0.19,5,0.78,Yes,Gold,33.37,Bronze
68,8/8/2024,23,Female,East Alexandra,Low,High Spender,Referral,8/11/2024,18,3739.01,207.72,Inactive,24-Aug,5853.82,394,10/1/2024,47,Travel,0.14,3,Debit Card,0.13,2,0.21,Yes,Free,34.44,Gold
69,17-11-2023,21,Female,Scottbury,Medium,Loyal,Referral,12/10/2023,37,818.51,22.12,Inactive,23-Nov,1576.93,659,30-05-2025,7,Electronics,0.62,1,Credit Card,0.19,4,0.23,Yes,Free,17.1,Gold
70,9/1/2024,58,Other,Rodriguezshire,Low,Bargain Hunter,Ads,27-10-2024,13,1275.15,98.09,Inactive,24-Sep,1805.52,370,29-12-2024,31,Grocery,0.1,6,Credit Card,0.26,1,0.28,Yes,Premium,41.13,Bronze
71,13-06-2025,41,Female,New Paigeshire,Low,Bargain Hunter,Direct,14-06-2025,1,4753.16,4753.16,Inactive,25-Jun,8344.36,85,9/1/2025,6,Electronics,0.46,0,UPI,0.17,3,0.1,Yes,Free,48.21,Silver
72,27-01-2025,61,Male,Loganborough,Low,High Spender,Social Media,22-03-2025,2,1878.07,939.03,Inactive,25-Jan,4009.81,222,3/10/2025,63,Grocery,0.33,10,Debit Card,0.15,1,0.16,No,Gold,47.88,Bronze
73,6/3/2024,30,Male,Christopherport,Low,Occasional,Social Media,6/10/2024,39,1860.41,47.7,Active,24-Jun,3791.4,460,15-04-2025,20,Travel,0.95,9,UPI,0.07,5,0.32,Yes,Free,50.21,Silver
74,11/12/2024,61,Male,North Tiffany,High,Occasional,Social Media,26-12-2024,12,2873.69,239.47,Active,24-Nov,3933.26,298,22-05-2025,56,Grocery,0.53,9,Wallet,0.2,2,0.75,Yes,Free,59,Gold
75,7/3/2025,30,Male,Scottstad,Medium,Loyal,Direct,8/9/2025,10,1562.56,156.26,Inactive,25-Jul,3163.45,65,13-07-2025,6,Books,0.33,1,Debit Card,0.3,5,0.7,Yes,Gold,44.55,Silver
76,6/11/2025,31,Male,Webbport,Medium,Loyal,Referral,7/3/2025,16,3215.85,200.99,Inactive,25-Jun,4043.44,87,29-08-2025,53,Healthcare,0.04,1,Debit Card,0.27,3,0.44,Yes,Gold,45.59,Bronze
77,10/11/2023,29,Other,Thomashaven,High,Occasional,Referral,11/7/2023,19,4120.04,216.84,Active,23-Oct,9564.47,696,1/10/2024,92,Travel,0.2,9,Wallet,0.2,4,0.87,Yes,Free,3.65,Bronze
78,28-11-2024,34,Female,Lake Davidberg,High,High Spender,Social Media,1/11/2025,18,1498.03,83.22,Inactive,24-Nov,2955.71,282,13-07-2025,92,Electronics,0.63,10,Debit Card,0.24,3,0.89,Yes,Premium,51.43,Bronze
79,15-09-2024,33,Female,North Pamelaport,Low,High Spender,Email,,0,0,0,Active,24-Sep,0,356,15-10-2024,25,Fashion,0.56,10,Debit Card,0.27,2,0.37,No,Gold,31.26,Platinum
80,14-07-2024,51,Other,North Bethanyshire,Low,Loyal,Email,20-07-2024,47,1048.73,22.31,Active,24-Jul,2579.92,419,11/10/2024,67,Healthcare,0.17,8,Credit Card,0.16,2,0.68,No,Premium,22.67,Gold
81,29-03-2025,29,Male,Phamhaven,Medium,One-time,Ads,5/2/2025,42,1067.37,25.41,Inactive,25-Mar,2088.19,161,31-08-2025,29,Books,0.22,10,Debit Card,0.02,5,0.78,Yes,Free,7.82,Bronze
82,24-05-2025,47,Female,New Edward,Medium,Occasional,Direct,21-07-2025,17,1819.54,107.03,Inactive,25-May,4256.29,105,31-08-2025,48,Books,0.5,9,Credit Card,0.3,2,0.35,Yes,Free,35.06,Gold
83,14-09-2023,51,Male,West Jameshaven,Low,One-time,Ads,18-10-2023,30,3111.86,103.73,Active,23-Sep,5755.54,723,23-11-2023,57,Books,0.08,6,Wallet,0.26,3,0.56,No,Gold,39.22,Platinum
84,26-11-2024,64,Male,Stricklandfort,Low,Loyal,Direct,1/10/2025,23,964.67,41.94,Inactive,24-Nov,2030.24,284,8/7/2025,92,Fashion,0.55,7,Wallet,0.28,5,0.57,Yes,Gold,32.67,Silver
85,4/2/2024,61,Male,Angelamouth,High,Bargain Hunter,Referral,27-05-2024,10,1808.13,180.81,Inactive,24-Apr,3319.36,522,11/4/2024,93,Electronics,0.73,10,Credit Card,0.3,3,0.4,No,Free,20.85,Gold
86,28-09-2024,39,Female,New Robertside,Low,High Spender,Referral,11/2/2024,1,1595.53,1595.53,Inactive,24-Sep,3017.8,343,1/4/2025,69,Electronics,0.1,5,Credit Card,0.15,5,0.35,Yes,Gold,31.99,Platinum
87,1/9/2025,45,Male,Weeksfort,High,Bargain Hunter,Direct,28-02-2025,5,4634.29,926.86,Active,25-Jan,8902.99,240,27-02-2025,60,Books,0.27,7,UPI,0.11,5,0.24,Yes,Premium,57.26,Platinum
88,21-06-2024,38,Male,North Samuelville,High,One-time,Ads,8/4/2024,48,789.47,16.45,Active,24-Jun,1624.49,442,6/2/2025,97,Electronics,0.95,1,UPI,0.04,3,0.28,Yes,Premium,34.35,Bronze
89,6/4/2025,60,Male,New Donald,Medium,Loyal,Email,7/12/2025,13,4067.47,312.88,Inactive,25-Jun,8943.78,94,20-07-2025,73,Fashion,0.53,7,Net Banking,0.01,1,0.56,No,Premium,56.69,Bronze
90,14-01-2024,42,Female,Angelaborough,Medium,Loyal,Social Media,2/10/2024,21,3163.35,150.64,Inactive,24-Jan,4519.87,601,14-07-2025,40,Fashion,0.27,2,Debit Card,0.14,4,0.14,No,Free,18.36,Gold
91,31-10-2023,61,Female,Melissahaven,High,Occasional,Email,21-11-2023,13,3597.92,276.76,Active,23-Oct,8933.34,676,17-11-2023,11,Electronics,0.86,2,Wallet,0.08,5,0.63,No,Free,42.7,Platinum
92,28-07-2024,47,Male,Mendozafurt,Low,Bargain Hunter,Direct,31-08-2024,49,1521.88,31.06,Inactive,24-Jul,3715.2,405,24-01-2025,21,Grocery,0.66,7,Wallet,0.12,1,0.5,Yes,Gold,1.17,Silver
93,7/2/2024,43,Other,New Johnburgh,High,High Spender,Direct,24-07-2024,29,2898.59,99.95,Active,24-Jul,3753.58,431,16-01-2025,8,Grocery,0.42,3,Credit Card,0.2,3,0.27,No,Free,42.29,Bronze
94,19-08-2025,51,Other,East Erinmouth,Low,Loyal,Social Media,28-09-2025,2,4520.23,2260.11,Inactive,25-Aug,9215.77,18,23-08-2025,36,Grocery,0.46,7,UPI,0.11,2,0.23,No,Free,11.26,Gold
95,27-09-2024,35,Other,West Lisa,Medium,One-time,Social Media,10/12/2024,1,2500.71,2500.71,Active,24-Sep,5446.66,344,11/6/2024,36,Healthcare,0.06,7,Net Banking,0,5,0.54,Yes,Free,19.55,Gold
96,8/2/2024,58,Other,Monroechester,Low,Loyal,Email,19-08-2024,36,4491.1,124.75,Active,24-Aug,8112.31,400,22-03-2025,8,Travel,0.27,7,Credit Card,0.11,3,0.49,No,Gold,28.94,Gold
97,26-01-2025,30,Female,West Rebeccafurt,High,High Spender,Direct,3/12/2025,31,745.03,24.03,Active,25-Jan,1826.42,223,4/1/2025,42,Healthcare,0.23,10,UPI,0.28,1,0.86,No,Free,20.61,Platinum
98,19-06-2025,61,Other,North Catherinechester,Low,High Spender,Social Media,7/6/2025,25,341.1,13.64,Active,25-Jun,444.42,79,25-07-2025,21,Travel,0.8,6,Net Banking,0.23,3,0.47,No,Free,50.73,Bronze
99,4/1/2025,38,Male,South Angelamouth,Low,Occasional,Referral,15-04-2025,27,4650.09,172.23,Active,25-Apr,8930.9,158,27-05-2025,65,Healthcare,0.56,1,Debit Card,0.22,1,0.44,No,Gold,50.59,Gold
100,28-03-2024,30,Male,East Jessica,High,Occasional,Email,5/1/2024,38,4247.07,111.76,Inactive,24-Mar,8903.19,527,30-11-2024,59,Travel,0.47,9,UPI,0.07,4,0.44,Yes,Gold,49.67,Gold
101,22-07-2024,36,Male,Cookberg,High,High Spender,Direct,17-09-2024,33,1274.84,38.63,Active,24-Jul,1928.35,411,20-05-2025,40,Grocery,0.76,2,Credit Card,0.16,4,0.86,Yes,Premium,18.33,Silver
102,29-12-2024,30,Female,Campbellfort,Low,High Spender,Social Media,1/8/2025,49,4820.18,98.37,Inactive,24-Dec,8052.84,251,8/3/2025,97,Electronics,0.21,0,Wallet,0,5,0.37,Yes,Premium,45.1,Silver
103,1/5/2025,62,Male,Kington,High,Loyal,Social Media,1/12/2025,27,2946.79,109.14,Active,25-Jan,4393.57,244,22-06-2025,91,Fashion,0.28,10,UPI,0.06,1,0.73,No,Free,59.86,Platinum
104,10/11/2024,37,Other,Walkerton,Low,Bargain Hunter,Ads,17-11-2024,15,834.91,55.66,Active,24-Oct,1076.34,330,4/11/2025,34,Books,0.96,7,Credit Card,0.06,5,0.65,Yes,Gold,40.36,Bronze
105,8/12/2025,41,Other,Thomasmouth,Low,One-time,Referral,9/12/2025,7,368.05,52.58,Inactive,25-Aug,624.9,25,8/12/2025,78,Electronics,0.31,0,Wallet,0.19,1,0.12,No,Premium,19.6,Platinum
106,18-06-2025,22,Female,South Katiemouth,Low,Bargain Hunter,Social Media,30-06-2025,39,3634.25,93.19,Active,25-Jun,7489.5,80,17-08-2025,64,Healthcare,0.72,4,Credit Card,0.29,1,0.24,Yes,Gold,37.76,Platinum
107,15-11-2024,35,Male,Timothyville,Low,Loyal,Direct,13-12-2024,26,1178.26,45.32,Active,24-Nov,1923.43,295,8/9/2025,32,Healthcare,0.28,9,Wallet,0.16,2,0.39,No,Free,58.06,Silver
108,31-03-2025,32,Other,Ericshire,Medium,Loyal,Direct,28-04-2025,8,702.62,87.83,Active,25-Mar,1578.13,159,29-08-2025,11,Fashion,0.37,2,Net Banking,0.07,2,0.3,Yes,Free,53.5,Bronze
109,24-05-2025,24,Male,East Kylehaven,Medium,High Spender,Social Media,23-07-2025,20,2254.29,112.71,Active,25-May,4438.73,105,7/11/2025,35,Travel,0.37,8,Credit Card,0.16,2,0.83,Yes,Free,7.97,Silver
110,20-08-2025,53,Other,West Meganport,High,High Spender,Referral,31-08-2025,16,2938.61,183.66,Inactive,25-Aug,5142.98,17,24-08-2025,65,Books,0.35,3,Credit Card,0,4,0.57,Yes,Premium,48.5,Platinum
111,1/8/2024,19,Female,North Lisa,Medium,High Spender,Direct,14-02-2024,45,781.14,17.36,Inactive,24-Jan,1797.02,607,20-11-2024,86,Grocery,0.53,0,Credit Card,0.09,1,0.82,Yes,Gold,37.37,Bronze
112,26-05-2025,33,Male,Younghaven,Low,High Spender,Referral,6/10/2025,2,2328.06,1164.03,Active,25-May,4778.51,103,8/2/2025,77,Fashion,0.77,3,Net Banking,0.18,5,0.24,No,Free,41.18,Gold
113,27-06-2025,18,Male,New Christine,Medium,Bargain Hunter,Ads,8/7/2025,26,972.81,37.42,Inactive,25-Jun,2390.74,71,30-07-2025,100,Electronics,0.39,3,Wallet,0.04,5,0.28,No,Gold,27.72,Bronze
114,15-06-2025,43,Male,Port Douglashaven,Low,Loyal,Direct,7/9/2025,49,4905.69,100.12,Active,25-Jun,9393.15,83,8/1/2025,85,Books,0.5,8,Debit Card,0.19,3,0.46,Yes,Free,11.44,Bronze
